Name,Team,"Overall
 Rating","Bat ppl
 bonus","Bowl ppl
 bonus","Bat mid
 bonus","Bowl mid
 bonus","Bat death
 bonus","Bowl death
 bonus"
Kapil Dev,RET,95,8,8,10,8,8,8
Jacques Kallis (foreign),RET,94,8,8,9,8,8,8
Andre Russell (foreign),KKR,90,6,7,8,7,10,8
Hardik Pandya (star fielder),MI,89,6,7,7,7,10,8
Ben Stokes (star fielder) (foreign),RR,89,9,7,8,7,8,7
Sunil Narine (foreign),KKR,88,7,7,6,9,5,5
Kieron Pollard (star fielder) (foreign),MI,87,6,6,8,7,9,7
Ravindra Jadeja (star fielder),CSK,87,6,6,7,8,8,6
Sam Curran (foreign),CSK,87,7,8,6,7,7,8
Krunal Pandya,MI,86,5,7,7,8,7,7
Chris Morris (foreign),RR,86,5,8,7,8,7,7
Shakib Al Hasan (foreign),KKR,86,6,6,8,8,7,6
Glenn Maxwell (star fielder) (foreign),RCB,86,6,7,8,8,9,5
Marcus Stoinis (foreign),DC,86,8,7,7,7,8,7
Daniel Christian (foreign),RCB,85,5,6,7,7,8,6
Daniel Sams (foreign),RCB,85,5,7,6,6,8,8
Mohammad Nabi (foreign),SRH,85,5,7,6,8,7,6
Washington Sundar,RCB,85,5,8,6,8,7,5
Dwayne Bravo (foreign),CSK,85,6,6,7,7,7,8
Moises Henriques (foreign),PK,85,6,6,7,7,7,6
Liam Livingstone (foreign),RR,85,8,5,7,7,6,5
Chris Jordan (foreign),PK,84,5,6,6,7,5,8
Axar Patel,DC,84,5,6,6,8,6,5
James Neesham (foreign),MI,84,5,7,5,6,7,7
Ben Cutting (foreign),KKR,84,6,5,7,7,8,6
Vijay Shankar,SRH,84,6,5,8,6,7,5
Shivam Dube,RR,83,5,6,6,7,7,6
Tom Curran (foreign),DC,83,5,7,6,6,6,6
Moeen Ali (foreign),CSK,83,6,5,7,7,7,6
Pawan Negi,KKR,82,5,5,6,7,5,5
Mitchell Marsh (foreign),SRH,82,6,6,7,6,6,5
