Name,Team,Overall Rating,Bat ppl bonus,Bowl ppl bonus,Bat mid bonus,Bowl mid bonus,Bat death bonus,Bowl death bonus
Glenn McGrath (foreign),RET,95,0,10,0,9,0,9
Shane Warne (foreign),RET,95,0,8,0,10,0,9
Wasim Akram (foreign),RET,94,0,9,0,8,0,8
Anil Kumble,RET,94,0,8,0,10,0,8
Jasprit Bumrah,MI,92,0,9,0,9,0,10
Kagiso Rabada (foreign),DC,91,0,8,0,9,0,10
Jofra Archer (foreign),RR,91,0,10,0,8,0,9
Rashid Khan (foreign),SRH,91,0,8,0,10,0,9
Trent Boult (foreign),MI,90,0,10,0,8,0,9
Mohammed Shami,PK,90,0,9,0,8,0,10
Yuzvendra Chahal,RCB,90,0,8,0,10,0,8
Anrich Nortje (foreign),DC,89,0,9,0,8,0,9
Deepak Chahar,CSK,89,0,10,0,7,0,8
Pat Cummins (foreign),KKR,88,0,9,0,8,0,8
Ravichandran Ashwin,DC,88,0,8,0,10,0,8
Bhuvneshwar Kumar,SRH,88,0,10,0,8,0,8
Lockie Ferguson (foreign),KKR,87,0,8,0,8,0,8
Mujeeb Ur Rahman (foreign),SRH,87,0,8,0,9,0,7
Lasith Malinga (foreign),MI,87,0,8,0,7,0,10
Sandeep Sharma,SRH,87,0,9,0,7,0,8
Shardul Thakur,CSK,87,0,7,0,8,0,8
Rahul Chahar,MI,87,0,7,0,9,0,8
Navdeep Saini,RCB,87,0,8,0,7,0,9
Jhye Richardson (foreign),PK,87,0,9,0,7,0,8
Lungi Ngidi (foreign),CSK,86,0,8,0,7,0,8
Nathan Coulter Nile (foreign),MI,86,0,7,0,8,0,8
Adam Zampa (foreign),RCB,86,0,7,0,9,0,7
Amit Mishra,DC,86,0,6,0,9,0,6
Kuldeep Yadav,KKR,86,0,6,0,9,0,6
Mohammed Siraj,RCB,86,0,8,0,7,0,7
Jaydev Unadkat,RR,86,0,7,0,8,0,7
Harbhajan Singh,KKR,86,0,7,0,9,0,7
Imran Tahir (foreign),CSK,85,0,6,0,9,0,6
Josh Hazlewood (foreign),CSK,85,0,8,0,7,0,7
Piyush Chawla,MI,85,0,6,0,8,0,6
Ishant Sharma,DC,85,0,8,0,7,0,7
Umesh Yadav,DC,85,0,8,0,7,0,7
Khaleel Ahmed,SRH,85,0,8,0,7,0,7
Mitchell Santner (foreign),CSK,84,0,6,0,8,0,6
Andrew Tye (foreign),RR,84,0,7,0,6,0,7
Jayant Yadav,MI,84,0,5,0,8,0,6
Siddhart Kaul,SRH,84,0,7,0,6,0,7
Shahbaz Nadeem,SRH,84,0,6,0,8,0,6
Mustafizur Rahman (foreign),RR,84,0,7,0,6,0,7
Karn Sharma,CSK,83,0,5,0,8,0,6
Adam Milne (foreign),MI,83,0,7,0,6,0,6
Dhawal Kulakarni,MI,82,0,7,0,5,0,6
